population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	48261819	24827152	6320	4056585	4110591	3620163	10201	3394	19472	348
ama_flo	49627049	25518260	6352	4086581	4129746	3738830	10514	3424	19767	358
ama_mal	49356257	25423117	6343	4083785	4127746	3725285	10451	3408	19741	351
ama_ros	49144960	25287171	6358	4077686	4124287	3700309	10383	3437	19683	352
ama_txn	49826494	25625326	6364	4092962	4134534	3757988	10569	3424	19796	346
ama_vul	49402957	25396232	6367	4084538	4129629	3716946	10437	3435	19779	349
ama_zel	48442764	24913481	6312	4060904	4113684	3632620	10243	3414	19557	346
chi_flo	49485179	25480452	6371	4086996	4129952	3736740	10472	3438	19640	360
chi_mal	48586391	24966189	6332	4064454	4115858	3643330	10272	3406	19528	349
chi_ros	49466145	25391665	6376	4082963	4127621	3719748	10465	3459	19652	360
chi_txn	49430796	25454513	6362	4086909	4130581	3731126	10465	3428	19638	346
chi_vul	49695001	25489171	6376	4089436	4132649	3735141	10525	3455	19740	358
chi_zel	49850511	25618730	6374	4094108	4134550	3765226	10583	3450	19722	361
flo_mal	49934560	25647098	6362	4094178	4134968	3760169	10564	3436	19808	359
flo_ros	50130235	25774628	6394	4100067	4138903	3785203	10609	3474	19814	363
flo_txn	50951283	26235997	6405	4120622	4152102	3865570	10811	3462	19968	352
flo_vul	50406594	25892040	6398	4107260	4144229	3803600	10675	3470	19928	358
flo_zel	49666993	25565298	6364	4091160	4132949	3748974	10522	3456	19741	357
mal_ros	49512259	25458231	6373	4087406	4130778	3730347	10457	3446	19743	355
mal_txn	50031746	25709665	6365	4098100	4138043	3771657	10608	3426	19825	343
mal_vul	49771300	25566395	6374	4094397	4136141	3747172	10521	3442	19837	349
mal_zel	48768563	25053224	6326	4068821	4119002	3655854	10324	3425	19614	345
ros_txn	50140275	25785900	6392	4101938	4140547	3786880	10625	3465	19822	349
ros_vul	50931618	26163684	6424	4121170	4153441	3853644	10777	3498	20013	363
ros_zel	49637241	25477547	6367	4087419	4130875	3732793	10521	3477	19746	356
txn_vul	50419035	25904261	6396	4109106	4146040	3805567	10690	3460	19921	346
txn_zel	49613665	25539323	6357	4091079	4133608	3743080	10522	3444	19741	343
vul_zel	49885114	25583386	6372	4094312	4136097	3749521	10577	3475	19829	353
