population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama	0.01548	0.01390	0.00412	0.00399	0.00247	0.01724	0.01819	0.00474	0.00728	0.02260
chi	0.01533	0.01401	0.00381	0.00384	0.00235	0.01702	0.01725	0.00440	0.00833	0.01945
flo	0.01295	0.01078	0.00326	0.00322	0.00206	0.01325	0.01450	0.00444	0.00658	0.02179
mal	0.01561	0.01411	0.00456	0.00400	0.00248	0.01742	0.01834	0.00489	0.00741	0.02892
ros	0.01512	0.01349	0.00327	0.00369	0.00229	0.01615	0.01684	0.00312	0.00731	0.01932
txn	0.01287	0.01073	0.00279	0.00316	0.00199	0.01307	0.01480	0.00482	0.00643	0.02687
vul	0.01437	0.01290	0.00379	0.00356	0.00220	0.01564	0.01612	0.00282	0.00695	0.01597
zel	0.01500	0.01367	0.00412	0.00379	0.00233	0.01673	0.01755	0.00375	0.00770	0.02018
