"allocation" "AMhetero" "AMhomo" "prob" "allocation" "IMhetero" "IMhomo" "prob" "allocation" "SChetero" "SChomo" "prob" "allocation" "AMhetero" "SI" "prob" "allocation" "IMhetero" "SI" "prob" "allocation" "SChetero" "SI" "prob" "allocation" "migInchetero" "SI" "prob" "allocation" "migDechetero" "SI" "prob" "allocation" "AMhetero" "IMhetero" "prob" "allocation" "AMhetero" "SChetero" "prob" "allocation" "AMhetero" "migInchetero" "prob" "allocation" "AMhetero" "migDechetero" "prob" "allocation" "IMhetero" "SChetero" "prob" "allocation" "IMhetero" "migInchetero" "prob" "allocation" "IMhetero" "migDechetero" "prob" "allocation" "migInchetero" "SChetero" "prob" "allocation" "migDechetero" "SChetero" "prob" "allocation" "migDechetero" "migInchetero" "prob"
"AMhomo" "0.4561" "0.5439" "0.568816666666667" "IMhetero" "0.9938" "0.0062" "0.99433" "SChetero" "0.9879" "0.0121" "0.987173333333333" "AMhetero" "0.6749" "0.3251" "0.672518333333334" "SI" "0.4449" "0.5551" "0.986766666666667" "SI" "0.4573" "0.5427" "0.968676666666667" "SI" "0.4202" "0.5798" "0.970268333333333" "SI" "0.3995" "0.6005" "0.976508333333333" "AMhetero" "0.7525" "0.2475" "0.917151666666667" "AMhetero" "0.6654" "0.3346" "0.917006666666666" "AMhetero" "0.8251" "0.1749" "0.939155000000001" "AMhetero" "0.7484" "0.2516" "0.95661" "SChetero" "0.4864" "0.5136" "0.5695" "IMhetero" "0.5327" "0.4673" "0.493695" "migDechetero" "0.4684" "0.5316" "0.515828333333333" "SChetero" "0.4819" "0.5181" "0.481515" "SChetero" "0.4907" "0.5093" "0.549473333333334" "migDechetero" "0.5597" "0.4403" "0.501196666666666"
"AMhomo" "0.4945" "0.5055" "0.582163333333333" "IMhetero" "0.9961" "0.0039" "0.995" "SChetero" "0.9868" "0.0132" "0.984988333333333" "AMhetero" "0.6366" "0.3634" "0.636731666666667" "IMhetero" "0.7923" "0.2077" "0.975861666666667" "SChetero" "0.8004" "0.1996" "0.969683333333333" "migInchetero" "0.766" "0.234" "0.960983333333334" "migDechetero" "0.7784" "0.2216" "0.955891666666667" "IMhetero" "0.3093" "0.6907" "0.915308333333333" "SChetero" "0.2865" "0.7135" "0.927221666666667" "migInchetero" "0.3255" "0.6745" "0.939795000000001" "migDechetero" "0.3262" "0.6738" "0.93897" "IMhetero" "0.5497" "0.4503" "0.522735000000001" "IMhetero" "0.5542" "0.4458" "0.460143333333332" "IMhetero" "0.5094" "0.4906" "0.500953333333333" "migInchetero" "0.5054" "0.4946" "0.503188333333334" "migDechetero" "0.5422" "0.4578" "0.525573333333334" "migDechetero" "0.5616" "0.4384" "0.455048333333334"
"AMhomo" "0.4557" "0.5443" "0.558296666666667" "IMhetero" "0.9414" "0.0586" "0.916045" "SChetero" "0.8345" "0.1655" "0.811295" "AMhetero" "0.6896" "0.3104" "0.688755" "IMhetero" "0.67" "0.33" "0.741248333333334" "SChetero" "0.6607" "0.3393" "0.759106666666667" "migInchetero" "0.6409" "0.3591" "0.740311666666666" "migDechetero" "0.6696" "0.3304" "0.762260000000001" "IMhetero" "0.4996" "0.5004" "0.675696666666666" "SChetero" "0.4515" "0.5485" "0.681475" "migInchetero" "0.4667" "0.5333" "0.667499999999999" "migDechetero" "0.4698" "0.5302" "0.638631666666666" "IMhetero" "0.54" "0.46" "0.439188333333333" "IMhetero" "0.5091" "0.4909" "0.507561666666666" "IMhetero" "0.5002" "0.4998" "0.478908333333333" "migInchetero" "0.5444" "0.4556" "0.5262" "migDechetero" "0.5392" "0.4608" "0.515816666666667" "migDechetero" "0.5155" "0.4845" "0.494106666666666"
"AMhetero" "0.5758" "0.4242" "0.582661666666668" "IMhetero" "0.9977" "0.0023" "0.997511666666667" "SChetero" "0.9587" "0.0413" "0.958399999999999" "AMhetero" "0.6673" "0.3327" "0.658403333333333" "IMhetero" "0.8914" "0.1086" "0.961555" "SChetero" "0.8937" "0.1063" "0.970526666666667" "migInchetero" "0.8739" "0.1261" "0.960295" "migDechetero" "0.8622" "0.1378" "0.953903333333333" "IMhetero" "0.2581" "0.7419" "0.894781666666668" "SChetero" "0.2239" "0.7761" "0.940163333333333" "migInchetero" "0.2608" "0.7392" "0.922091666666667" "migDechetero" "0.3113" "0.6887" "0.88267" "SChetero" "0.4846" "0.5154" "0.589001666666666" "IMhetero" "0.5621" "0.4379" "0.464323333333333" "IMhetero" "0.6369" "0.3631" "0.612828333333333" "SChetero" "0.4537" "0.5463" "0.55879" "SChetero" "0.4235" "0.5765" "0.602423333333334" "migInchetero" "0.4571" "0.5429" "0.564233333333333"
"AMhetero" "0.5389" "0.4611" "0.57016" "IMhetero" "0.9944" "0.0056" "0.994011666666667" "SChetero" "0.9928" "0.0072" "0.990913333333333" "AMhetero" "0.6319" "0.3681" "0.630263333333334" "IMhetero" "0.7555" "0.2445" "0.9825" "SChetero" "0.7608" "0.2392" "0.969406666666667" "migInchetero" "0.7741" "0.2259" "0.967386666666667" "migDechetero" "0.7502" "0.2498" "0.975058333333334" "IMhetero" "0.3337" "0.6663" "0.929866666666666" "SChetero" "0.3039" "0.6961" "0.936785" "migInchetero" "0.3218" "0.6782" "0.934978333333333" "migDechetero" "0.3378" "0.6622" "0.94263" "IMhetero" "0.5059" "0.4941" "0.586978333333333" "IMhetero" "0.5455" "0.4545" "0.499710000000001" "IMhetero" "0.5714" "0.4286" "0.567806666666666" "SChetero" "0.4373" "0.5627" "0.542171666666666" "SChetero" "0.4826" "0.5174" "0.564316666666667" "migInchetero" "0.4704" "0.5296" "0.535938333333333"
"AMhomo" "0.3499" "0.6501" "0.654036666666667" "IMhetero" "0.9699" "0.0301" "0.963748333333334" "SChetero" "0.9768" "0.0232" "0.966563333333333" "AMhetero" "0.8828" "0.1172" "0.878938333333334" "IMhetero" "0.8011" "0.1989" "0.906608333333335" "SChetero" "0.7818" "0.2182" "0.920333333333334" "migInchetero" "0.7948" "0.2052" "0.935121666666667" "migDechetero" "0.7989" "0.2011" "0.939194999999999" "IMhetero" "0.4617" "0.5383" "0.73076" "SChetero" "0.3878" "0.6122" "0.777995" "migInchetero" "0.4193" "0.5807" "0.711886666666668" "migDechetero" "0.4573" "0.5427" "0.715656666666667" "SChetero" "0.3485" "0.6515" "0.650698333333334" "migInchetero" "0.4979" "0.5021" "0.526481666666667" "IMhetero" "0.501" "0.499" "0.473226666666667" "SChetero" "0.321" "0.679" "0.654673333333333" "SChetero" "0.3439" "0.6561" "0.651371666666666" "migInchetero" "0.4974" "0.5026" "0.515808333333333"
"AMhomo" "0.4939" "0.5061" "0.579015" "IMhetero" "0.9943" "0.0057" "0.990238333333333" "SChetero" "0.9903" "0.0097" "0.989093333333333" "AMhetero" "0.6268" "0.3732" "0.621053333333334" "IMhetero" "0.7145" "0.2855" "0.983556666666667" "SChetero" "0.7306" "0.2694" "0.978541666666667" "migInchetero" "0.7228" "0.2772" "0.974898333333334" "migDechetero" "0.7215" "0.2785" "0.982373333333333" "IMhetero" "0.3739" "0.6261" "0.925595" "SChetero" "0.3979" "0.6021" "0.942396666666667" "migInchetero" "0.3099" "0.6901" "0.944455" "migDechetero" "0.3538" "0.6462" "0.951474999999999" "IMhetero" "0.5167" "0.4833" "0.546963333333334" "IMhetero" "0.5441" "0.4559" "0.499985" "IMhetero" "0.5151" "0.4849" "0.545213333333334" "SChetero" "0.4505" "0.5495" "0.562943333333333" "SChetero" "0.4871" "0.5129" "0.537346666666667" "migDechetero" "0.5237" "0.4763" "0.514953333333334"
"AMhetero" "0.5112" "0.4888" "0.485931666666666" "IMhetero" "0.9971" "0.0029" "0.99644" "SChetero" "0.9907" "0.0093" "0.990531666666666" "AMhetero" "0.703" "0.297" "0.69336" "IMhetero" "0.5961" "0.4039" "0.982828333333333" "SChetero" "0.5661" "0.4339" "0.970495" "migInchetero" "0.5494" "0.4506" "0.969226666666667" "migDechetero" "0.5629" "0.4371" "0.974111666666667" "AMhetero" "0.6197" "0.3803" "0.917756666666667" "AMhetero" "0.5561" "0.4439" "0.91828" "AMhetero" "0.5472" "0.4528" "0.918626666666667" "AMhetero" "0.5641" "0.4359" "0.917706666666666" "IMhetero" "0.5006" "0.4994" "0.621888333333332" "IMhetero" "0.5478" "0.4522" "0.498226666666666" "migDechetero" "0.4423" "0.5577" "0.561358333333333" "SChetero" "0.4258" "0.5742" "0.555266666666667" "SChetero" "0.4977" "0.5023" "0.574811666666667" "migDechetero" "0.5859" "0.4141" "0.559655"
"AMhetero" "0.5069" "0.4931" "0.561561666666666" "IMhetero" "0.9917" "0.0083" "0.989723333333333" "SChetero" "0.982" "0.018" "0.982108333333333" "AMhetero" "0.6602" "0.3398" "0.663188333333333" "IMhetero" "0.8128" "0.1872" "0.966581666666667" "SChetero" "0.8256" "0.1744" "0.949491666666667" "migInchetero" "0.8262" "0.1738" "0.947835" "migDechetero" "0.8236" "0.1764" "0.953575" "IMhetero" "0.291" "0.709" "0.909551666666667" "SChetero" "0.2926" "0.7074" "0.88736" "migInchetero" "0.2846" "0.7154" "0.914570000000001" "migDechetero" "0.3053" "0.6947" "0.923393333333333" "IMhetero" "0.5455" "0.4545" "0.557106666666667" "IMhetero" "0.541" "0.459" "0.517163333333334" "migDechetero" "0.4913" "0.5087" "0.545141666666666" "migInchetero" "0.5074" "0.4926" "0.529196666666668" "migDechetero" "0.5484" "0.4516" "0.525033333333334" "migDechetero" "0.5221" "0.4779" "0.420513333333334"
"AMhetero" "0.5106" "0.4894" "0.570188333333333" "IMhetero" "0.9942" "0.0058" "0.995165" "SChetero" "0.9822" "0.0178" "0.981233333333333" "AMhetero" "0.6521" "0.3479" "0.653546666666666" "IMhetero" "0.8914" "0.1086" "0.978325000000001" "SChetero" "0.8869" "0.1131" "0.970325000000001" "migInchetero" "0.8755" "0.1245" "0.97565" "migDechetero" "0.8805" "0.1195" "0.978421666666667" "IMhetero" "0.2021" "0.7979" "0.95038" "SChetero" "0.1942" "0.8058" "0.961010000000001" "migInchetero" "0.2203" "0.7797" "0.952521666666666" "migDechetero" "0.2426" "0.7574" "0.937931666666667" "IMhetero" "0.5219" "0.4781" "0.537166666666667" "IMhetero" "0.534" "0.466" "0.471301666666667" "IMhetero" "0.5367" "0.4633" "0.554288333333334" "SChetero" "0.4963" "0.5037" "0.496151666666668" "migDechetero" "0.5102" "0.4898" "0.551416666666667" "migDechetero" "0.5039" "0.4961" "0.440266666666666"
